site_id,site_lat,site_lon,rain_penalty_pct,rain_penalty_count,median_daily_count,rain_share,commute_share,station_km,weather_resilience_index,log_median_daily_count,used_in_clustering,cluster
119,51.0281795,3.7683918,0.0644782685347084,0.5479726903735909,563.0,0.5941765241128298,0.2486818980667838,6.281003634042086,0.9355217314652916,6.335054251498059,True,3
12,50.81896,4.47803,0.3350324425056608,127.07891967239888,374.5,0.5411568409343716,0.2837124421560321,8.799369806443483,0.6649675574943392,5.928258471204189,False,
120,51.0607671,4.0547741,0.1366036283764983,14.438945575245569,110.0,0.6016064257028112,0.3246413272591283,18.947297732112897,0.8633963716235017,4.709530201312334,True,2
121,51.0604067,4.0556696,0.0701192149309797,22.024888310277504,345.0,0.6016064257028112,0.2732558139534883,18.983751381375352,0.9298807850690204,5.846438775057725,True,3
122,51.0373918,4.1019222,0.0,0.0,544.0,0.6016064257028112,0.2824843598670261,20.987406369123217,1.0,6.300785794663244,True,3
123,51.1964555,4.2362771,0.2985470933012656,0.3841814841804959,252.0,0.4306569343065693,0.3026627742392073,16.80509174694351,0.7014529066987343,5.53338948872752,False,
124,51.1964712,4.2361077,0.2729462456425729,11.881192186011956,448.5,0.5880149812734082,0.2967741935483871,16.80983586320131,0.727053754357427,6.108135853911675,True,2
125,51.0372706,4.1025998,0.1119578487224406,119.55550200305451,1337.0,0.6026058631921825,0.2664392213708842,21.02855801993324,0.8880421512775594,7.198931240688173,True,3
126,51.1017709,4.1469307,0.145294926049833,57.425365551943344,405.0,0.6016326530612245,0.3009950248756219,26.54424780273901,0.8547050739501669,6.0063531596017325,True,2
127,51.1342966,4.9400421,0.0604189056544623,22.772007338809654,490.5,0.5776143790849673,0.3733478893740902,11.43462841042537,0.9395810943455376,6.197461939587221,True,2
128,51.09644,3.97023,0.0530547404866031,13.804955844275582,301.0,0.6036036036036037,0.2779783393501805,16.824942622883,0.9469452595133968,5.71042701737487,True,3
129,51.09612,3.97025,0.0431757335624892,11.262280730722836,290.0,0.6036036036036037,0.233502538071066,16.798566484101535,0.9568242664375108,5.673323267171493,True,3
13,51.03018,3.70146,0.0412013901054522,25.23514470569637,736.0,0.5972696245733788,0.2712406425897385,9.746966639684643,0.9587986098945478,6.602587892189336,True,3
131,51.0276612,3.558569,0.1980711087319984,64.10880005369043,299.0,0.5931156222418358,0.2955326460481099,18.76723802520672,0.8019288912680016,5.703782474656201,True,2
132,51.245445,4.8298851,0.1532449632926838,17.400218470037856,119.0,0.5692446043165468,0.3013763197586727,13.999043581965354,0.8467550367073161,4.787491742782046,True,2
133,51.2453915,4.8297416,0.15207755897876,17.650988576881986,122.0,0.5722171113155474,0.316869918699187,14.00772427823801,0.84792244102124,4.812184355372417,True,2
134,51.2548405,5.1037658,0.1382260281892757,45.05848566288745,365.0,0.5692446043165468,0.2785195200270407,6.496781020006561,0.8617739718107242,5.902633333401366,True,3
135,51.2544998,5.1040064,0.1513040405023715,48.659528346362634,359.0,0.5692446043165468,0.3150091575091575,6.488972717337895,0.8486959594976284,5.886104031450156,True,2
136,51.0876313,3.7587918,0.0,0.0,455.5,0.5956284153005464,0.2481884057971014,12.588086643714597,1.0,6.1235887000350235,True,3
137,50.9411605,5.3417576,0.0,0.0,1948.0,0.6108422071636012,0.2725752508361204,8.126113377515688,1.0,7.575071699507561,True,3
138,50.9405318,5.3422472,0.0839497676973998,146.85124828537778,1810.5,0.607824427480916,0.2809193147094304,8.069629419264755,0.9160502323026,7.501910510335132,True,3
139,51.0644267,5.3819796,0.4090397965970396,186.19706030688545,349.0,0.6074498567335244,0.3885799939368761,17.240901133794676,0.5909602034029604,5.857933154483459,False,
14,50.97172,5.48927,0.1790037489057084,27.297893956731563,142.0,0.6015358361774744,0.3014026348561316,6.826006268254662,0.8209962510942915,4.962844630259907,True,2
140,50.9300038,5.3438616,0.0179636209916236,29.214776565284637,1913.5,0.6083172147001934,0.2763914039218437,7.6336971655693295,0.9820363790083764,7.557211770917349,True,3
142,51.22632,3.24095,0.0,0.0,3788.5,0.7380952380952381,0.229564626197524,13.732655298933077,1.0,8.239989363252084,True,1
